"NEWSUID","NoSoilComp","DomFAO_Name","DomFAO_Prop","PropSynthProf","SoilMapUnit","SOIL1","PROP1","PRID1","SOIL2","PROP2","PRID2","SOIL3","PROP3","PRID3","SOIL4","PROP4","PRID4","SOIL5","PROP5","PRID5","SOIL6","PROP6","PRID6","SOIL7","PROP7","PRID7","SOIL8","PROP8","PRID8","SOIL9","PROP9","PRID9","SOIL10","PROP10","PRID10","WATE"
"WD10001192",1,"GL",100,0,"GL1/A","GL",100,"GL/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001193",2,"GL",70,0,"GL2FL4/A","GL",70,"GL/A","FL",30,"FL/A",,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001194",2,"GL",70,0,"GL2FL4/A","GL",70,"GL/A","FL",30,"FL/A",,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001198",3,"GL",60,0,"GL2LPq4FLe4/A","GL",60,"GL/A","LPq",20,"LPq/A","FLe",20,"FLe/A",,,,,,,,,,,,,,,,,,,,,,
"WD10001199",3,"GL",60,0,"GL2VR4LXp4/A","GL",60,"GL/A","VR",20,"VR/A","LXp",20,"LXp/A",,,,,,,,,,,,,,,,,,,,,,
"WD10001200",4,"GL",50,0,"GL3FL4VR5SCg5/A","GL",50,"GL/A","FL",30,"FL/A","VR",10,"VR/A","SCg",10,"SCg/A",,,,,,,,,,,,,,,,,,,
"WD10001201",4,"GL",40,0,"GLd3SCg4FLt4FLd4/A","GLd",40,"GLd/A","SCg",20,"SCg/A","FLt",20,"FLt/A","FLd",20,"FLd/A",,,,,,,,,,,,,,,,,,,
"WD10001202",5,"GL",50,0,"GLd4HS4GLu4FLd4FLt5/A","GLd",30,"GLd/A","HS",20,"HS/A","GLu",20,"GLu/A","FLd",20,"FLd/A","FLt",10,"FLt/A",,,,,,,,,,,,,,,,
"WD10001203",5,"GL",50,0,"GLd4HS4GLu4FLd4FLt5/A","GLd",30,"GLd/A","HS",20,"HS/A","GLu",20,"GLu/A","FLd",20,"FLd/A","FLt",10,"FLt/A",,,,,,,,,,,,,,,,
"WD10001204",1,"GL",100,0,"GLe1/A","GLe",100,"GLe/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001209",6,"GL",55,0,"GLe3FL4SN5SC5PLe5GLu5/A","GLe",50,"GLe/A","FL",30,"FL/A","SN",5,"SN/A","SC",5,"SC/A","PLe",5,"PLe/A","GLu",5,"GLu/A",,,,,,,,,,,,,
"WD10001213",4,"GL",70,0,"GLu3HS4GLd4FLd5/A","GLu",50,"GLu/A","HS",20,"HS/A","GLd",20,"GLd/A","FLd",10,"FLd/A",,,,,,,,,,,,,,,,,,,
"WD10001214",4,"GL",70,0,"GLu3HS4GLd4FLd5/A","GLu",50,"GLu/A","HS",20,"HS/A","GLd",20,"GLd/A","FLd",10,"FLd/A",,,,,,,,,,,,,,,,,,,
"WD10001221",1,"LP",100,0,"LPq1/A","LPq",100,"LPq/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001226",3,"LP",34,0,"LPq4FRh4ACg4/A","LPq",34,"LPq/A","FRh",33,"FRh/A","ACg",33,"ACg/A",,,,,,,,,,,,,,,,,,,,,,
"WD10001227",2,"LP",50,0,"LPq3ACh3/A","LPq",50,"LPq/A","ACh",50,"ACh/A",,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001228",2,"LP",50,0,"LPq3ACh3/A","LPq",50,"LPq/A","ACh",50,"ACh/A",,,,,,,,,,,,,,,,,,,,,,,,,
"WD10001229",3,"LP",34,0,"LPq4NTh4CMd4/A","LPq",34,"LPq/A","NTh",33,"NTh/A","CMd",33,"CMd/A",,,,,,,,,,,,,,,,,,,,,,
"WD10001230",2,"LP",50,0,"LPq3CMe3/A","LPq",50,"LPq/A","CMe",50,"CMe/A",,,,,,,,,,,,,,,,,,,,,,,,,
