pixel_vaue	description	cover_%	cell_count	square_km
0	nodata	71.11	502767732	330317832    
2	WD10000002	0.01	37851	32009
36	WD20000036	0.32	1874659	1467042  
37	WD10000037	0.03	142476	121215
38	WD10000038	0.00	3195	2715
39	WD10000039	0.00	18921	16102
41	WD10000041	0.00	15465	13104
44	WD10000044	0.00	5545	4702
45	WD10000045	0.02	122856	104322
47	WD10000047	0.01	65361	55427
50	WD10000050	0.00	22389	19062
51	WD10000051	0.00	6093	5188
52	WD10000052	0.00	1736	1480
53	WD10000053	0.00	1279	1089
55	WD10000055	0.00	7463	6287
60	WD20000060	0.01	36418	29417
61	WD20000061	0.05	310659	247416
62	WD10000062	0.00	384	322
63	WD10000063	0.00	3614	3063
66	WD10000066	0.00	3477	2963
67	WD30000067	0.00	11345	8205
71	WD20000071	0.00	30151	22147
72	WD20000072	0.00	2389	1795
79	WD20000079	0.01	63353	52303
80	WD20000080	0.00	15293	12753
81	WD20000081	0.01	30914	25325
82	WD20000082	0.01	74959	61202
85	WD20000085	0.00	18333	15042
87	WD20000087	0.00	192	155
91	WD20000091	0.00	8758	7187
92	WD20000092	0.09	532890	423172
93	WD20000093	0.00	12711	10079
95	WD20000095	0.00	11	8
97	WD20000097	0.01	51268	40612
99	WD10000099	0.00	15478	12787
103	WD20000103	0.00	16583	12106
109	WD20000109	0.00	30	25
111	WD20000111	0.00	22	18
119	WD20000119	0.00	814	600
120	WD20000120	0.00	8368	6925
123	WD10000123	0.01	62990	53072
125	WD20000125	0.00	16788	14110
132	WD10000132	0.00	16008	13486
135	WD20000135	0.01	31791	26646
136	WD10000136	0.00	17345	14616
138	WD20000138	0.01	36849	30874
139	WD10000139	0.00	1626	1368
142	WD10000142	0.00	4707	3969
143	WD10000143	0.00	10056	8468
144	WD10000144	0.00	6286	5304
145	WD10000145	0.01	32801	27754
146	WD20000146	0.00	10187	8571
153	WD10000153	0.01	35621	30097
161	WD10000161	0.00	3491	2971
164	WD10000164	0.00	3667	3122
165	WD20000165	0.03	159382	130940
168	WD20000168	0.01	76827	63737
169	WD20000169	0.01	42090	34784
171	WD20000171	0.00	7162	5916
172	WD20000172	0.00	2092	1731
173	WD20000173	0.00	25950	21495
181	WD20000181	0.00	14782	12348
185	WD10000185	0.01	71866	61241
186	WD10000186	0.00	22498	19151
187	WD10000187	0.01	54258	45964
190	WD20000190	0.00	3149	2627
191	WD20000191	0.00	5253	4377
192	WD20000192	0.00	3697	3109
193	WD20000193	0.06	345961	269081
195	WD20000195	0.00	9335	6607
224	WD10000224	0.00	15197	12852
225	WD10000225	0.00	1322	1124
232	WD20000232	0.03	148694	121255
233	WD20000233	0.00	16566	12486
238	WD20000238	0.04	204712	167899
242	WD20000242	0.00	28141	22527
243	WD20000243	0.00	17951	15037
251	WD20000251	0.01	39264	30412
255	WD20000255	0.00	11964	9885
256	WD20000256	0.01	29085	24242
262	WD30000262	0.00	986	678
283	WD20000283	0.00	2452	2060
285	WD10000285	0.01	30540	25676
290	WD30000290	0.00	10705	8777
292	WD20000292	0.00	24775	20701
293	WD20000293	0.00	22373	18710
295	WD20000295	0.00	1757	1466
300	WD20000300	0.00	610	503
318	WD20000318	0.00	10860	7902
320	WD30000320	0.00	14167	9919
322	WD20000322	0.00	1836	1331
329	WD20000329	0.00	6372	4441
333	WD20000333	0.00	28918	21377
336	WD20000336	0.00	10342	8450
339	WD20000339	0.07	439877	348009
340	WD20000340	0.01	90685	68507
341	WD20000341	0.00	23431	18495
343	WD20000343	0.00	496	370
360	WD20000360	0.00	2385	1871
361	WD20000361	0.09	571436	430773
363	WD20000363	0.01	51808	38146
366	WD20000366	0.00	14771	11285
372	WD20000372	0.00	15197	11199
374	WD20000374	0.00	27614	20125
376	WD20000376	0.00	25	18
379	WD20000379	0.00	3282	2722
380	WD20000380	0.00	11008	9244
381	WD20000381	0.00	6628	4693
390	WD20000390	0.00	3706	3064
391	WD20000391	0.00	12216	8984
423	WD30000423	0.00	161	136
424	WD30000424	0.00	9	8
436	WD10000436	0.00	11756	9994
437	WD10000437	0.00	6968	5951
440	WD30000440	0.00	271	229
445	WD30000445	0.00	478	401
450	WD20000450	0.00	1220	1000
463	WD10000463	0.01	55968	47825
464	WD10000464	0.01	59802	51091
480	WD30000480	0.00	1959	1644
481	WD10000481	0.02	125320	106796
482	WD10000482	0.00	1696	1449
483	WD10000483	0.01	30163	25751
485	WD10000485	0.00	10765	9201
488	WD10000488	0.00	1888	1610
489	WD10000489	0.00	4641	3955
490	WD10000490	0.01	40682	34727
491	WD10000491	0.01	45967	39268
492	WD10000492	0.00	21182	18069
494	WD10000494	0.00	12013	10243
495	WD10000495	0.00	3295	2814
509	WD10000509	0.00	444	378
522	WD30000522	0.00	83	69
533	WD30000533	0.00	5209	4398
534	WD30000534	0.00	24968	20716
537	WD30000537	0.04	244491	204340
538	WD30000538	0.01	33279	27278
540	WD30000540	0.00	21329	17923
542	WD30000542	0.00	16758	14074
544	WD30000544	0.00	14997	12686
546	WD10000546	0.01	58497	49965
548	WD10000548	0.00	6046	5154
549	WD10000549	0.00	4912	4198
551	WD10000551	0.02	92444	79009
552	WD10000552	0.00	16882	14426
554	WD10000554	0.00	4	3
555	WD30000555	0.00	2385	2005
556	WD30000556	0.00	2968	2472
557	WD30000557	0.00	2294	1924
564	WD30000564	0.00	4872	4057
569	WD30000569	0.00	303	254
570	WD30000570	0.01	53831	44941
572	WD30000572	0.00	3412	2826
575	WD30000575	0.00	271	201
580	WD10000580	0.00	125	105
583	WD10000583	0.00	8299	7076
584	WD10000584	0.00	51	44
593	WD30000593	0.00	244	204
594	WD30000594	0.00	19201	16066
598	WD10000598	0.00	4592	3918
600	WD30000600	0.01	46179	38289
602	WD10000602	0.00	8846	7547
604	WD10000604	0.01	48993	41817
605	WD10000605	0.00	11442	9778
606	WD10000606	0.00	23759	20305
607	WD10000607	0.01	38934	33258
608	WD10000608	0.00	952	812
609	WD10000609	0.00	2249	1917
610	WD10000610	0.00	236	202
612	WD30000612	0.00	207	173
615	WD10000615	0.00	21861	18156
616	WD10000616	0.00	17061	14037
618	WD10000618	0.01	28412	23506
620	WD30000620	0.00	7887	6642
621	WD30000621	0.00	20206	16869
624	WD10000624	0.00	15403	13160
626	WD10000626	0.00	5185	4431
627	WD10000627	0.00	2678	2289
628	WD10000628	0.01	65795	56231
630	WD10000630	0.00	1751	1492
638	WD10000638	0.00	291	243
640	WD30000640	0.00	31066	23179
642	WD20000642	0.00	1890	1548
643	WD30000643	0.00	17	14
644	WD30000644	0.00	25169	20983
649	WD30000649	0.01	71696	59539
652	WD30000652	0.00	5	4
656	WD10000656	0.00	14952	12657
658	WD10000658	0.00	2272	1939
673	WD10000673	0.00	247	211
674	WD10000674	0.00	3331	2841
676	WD10000676	0.00	25299	21597
677	WD10000677	0.00	6230	5302
679	WD20000679	0.00	6772	5170
681	WD30000681	0.00	2451	2032
686	WD20000686	0.00	4412	3604
688	WD30000688	0.00	7513	6220
691	WD30000691	0.00	1274	1073
693	WD30000693	0.00	687	567
696	WD20000696	0.00	159	130
697	WD10000697	0.00	1979	1625
708	WD20000708	0.00	6	5
712	WD30000712	0.00	14890	12235
714	WD30000714	0.01	46456	38711
715	WD30000715	0.01	29910	24689
733	WD10000733	0.00	12093	10145
738	WD20000738	0.00	6235	5210
777	WD10000777	0.00	7717	6359
778	WD30000778	0.00	3474	2886
781	WD30000781	0.00	7440	6179
785	WD10000785	0.00	1298	1089
786	WD10000786	0.00	5410	4520
795	WD10000795	0.00	5726	4886
800	WD10000800	0.00	905	771
814	WD10000814	0.00	2957	2527
816	WD30000816	0.00	3261	2735
819	WD10000819	0.00	3995	3286
