"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","ACg","ACg/C","I","D1",0,20,2,1.00,57,25.00,28,16.00,15,13.00,"M",1.53,0.12,18,7.00,7,3.00,4.00,3.00,51,35.00,5.00,2.00,18.00,8.00,1,0.00,21,20.00,5.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.65,18.00,7.00,18.51,10.18
"N","ACg","ACg/C","I","D2",20,40,2,2.00,50,25.00,27,16.00,23,16.00,"M",1.68,0.11,15,7.00,7,5.00,4.00,2.00,51,29.00,6.00,3.00,21.00,9.00,2,1.00,34,25.00,5.10,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.32,12.00,5.00,4.88,2.25
"N","ACg","ACg/C","I","D3",40,60,2,2.00,45,24.00,24,15.00,31,18.00,"M",1.67,0.14,15,6.00,7,4.00,3.00,1.00,39,20.00,6.00,4.00,23.00,10.00,2,1.00,42,25.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.25,9.00,4.00,3.55,2.28
"N","ACg","ACg/C","I","D4",60,80,9,11.00,43,25.00,21,13.00,36,19.00,"F",1.67,0.19,15,7.00,7,4.00,3.00,1.00,36,23.00,9.00,7.00,24.00,11.00,2,0.00,42,23.00,4.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.25,8.00,3.00,2.67,1.68
"N","ACg","ACg/C","I","D5",80,100,5,5.00,45,23.00,19,10.00,36,17.00,"F",1.68,0.18,15,7.00,9,7.00,2.00,1.00,30,20.00,9.00,7.00,27.00,13.00,2,1.00,58,23.00,4.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.11,5.00,1.00,2.11,1.32
"N","ACg","ACg/C","I","D6",100,150,7,6.00,47,21.00,19,12.00,34,16.00,"M",1.73,0.17,16,9.00,10,7.00,2.00,1.00,28,19.00,9.00,7.00,29.00,15.00,1,1.00,59,25.00,4.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.12,5.00,0.00,1.73,1.33
"N","ACg","ACg/C","I","D7",150,200,10,11.00,49,26.00,20,17.00,31,17.00,"M",1.77,0.12,13,5.00,10,8.00,3.00,2.00,30,18.00,7.00,6.00,29.00,15.00,1,1.00,64,13.00,4.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.14,5.00,0.00,1.06,0.68
"N","ACh","ACh/A","M","D1",0,20,11,10.00,59,23.00,18,14.00,23,15.00,"M",1.37,0.14,14,6.00,7,4.00,3.00,2.00,43,26.00,4.00,3.00,17.00,10.00,2,1.00,20,17.00,5.10,0.70,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.54,12.00,3.00,12.04,6.39
"N","ACh","ACh/A","M","D2",20,40,13,11.00,53,23.00,16,13.00,31,17.00,"M",1.37,0.14,14,6.00,6,3.00,3.00,1.00,33,21.00,3.00,2.00,14.00,7.00,2,1.00,30,26.00,5.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.28,10.00,3.00,6.32,2.92
"N","ACh","ACh/A","M","D3",40,60,14,11.00,48,22.00,16,12.00,36,17.00,"F",1.38,0.13,15,6.00,6,3.00,2.00,1.00,28,17.00,3.00,1.00,12.00,6.00,2,1.00,39,29.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.19,9.00,3.00,4.66,2.06
"N","ACh","ACh/A","M","D4",60,80,17,14.00,46,21.00,16,12.00,38,16.00,"F",1.38,0.14,15,6.00,6,3.00,2.00,1.00,27,16.00,3.00,1.00,12.00,6.00,2,1.00,41,29.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.17,9.00,3.00,3.82,1.70
"N","ACh","ACh/A","M","D5",80,100,10,9.00,45,21.00,16,12.00,39,16.00,"F",1.39,0.14,16,7.00,6,3.00,2.00,1.00,26,15.00,3.00,1.00,13.00,6.00,2,1.00,44,31.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.16,9.00,3.00,3.31,1.47
"N","ACh","ACh/A","M","D6",100,150,19,17.00,44,21.00,17,11.00,39,17.00,"F",1.39,0.14,16,7.00,6,3.00,2.00,1.00,27,17.00,4.00,2.00,13.00,7.00,2,1.00,49,31.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.14,9.00,3.00,2.77,1.23
"N","ACh","ACh/A","M","D7",150,200,22,17.00,47,21.00,17,11.00,36,16.00,"F",1.44,0.16,14,10.00,5,3.00,2.00,1.00,30,20.00,4.00,2.00,13.00,8.00,2,1.00,38,27.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.12,9.00,3.00,2.20,1.02
"N","ACh","ACh/B","M","D1",0,20,9,8.00,78,10.00,11,6.00,11,6.00,"C",1.46,0.11,14,5.00,3,1.00,2.00,1.00,47,25.00,2.00,1.00,16.00,7.00,1,1.00,15,14.00,5.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.17,9.00,4.00,3.10,1.76
"N","ACh","ACh/B","M","D2",20,40,9,9.00,73,10.00,11,6.00,16,6.00,"C",1.50,0.11,13,5.00,3,1.00,2.00,1.00,40,22.00,2.00,1.00,15.00,7.00,2,1.00,27,19.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.14,9.00,3.00,2.62,1.35
"N","ACh","ACh/B","M","D3",40,60,9,9.00,69,10.00,11,6.00,20,6.00,"M",1.50,0.09,13,5.00,4,2.00,2.00,1.00,36,20.00,4.00,2.00,12.00,6.00,2,0.00,32,23.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.16,9.00,5.00,2.08,1.10
"N","ACh","ACh/B","M","D4",60,80,10,10.00,69,10.00,10,6.00,21,7.00,"M",1.50,0.10,14,5.00,4,2.00,2.00,1.00,39,21.00,4.00,2.00,11.00,6.00,2,1.00,39,25.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.15,11.00,5.00,1.49,0.73
"N","ACh","ACh/B","M","D5",80,100,10,11.00,70,9.00,9,6.00,21,8.00,"M",1.50,0.09,14,5.00,3,2.00,2.00,1.00,45,21.00,4.00,2.00,10.00,6.00,2,1.00,43,28.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.14,9.00,3.00,1.22,0.51
"N","ACh","ACh/B","M","D6",100,150,11,13.00,69,10.00,10,5.00,21,9.00,"M",1.54,0.09,14,5.00,2,1.00,2.00,1.00,29,17.00,4.00,2.00,9.00,6.00,2,1.00,50,27.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.08,6.00,1.00,0.94,0.47
"N","ACh","ACh/B","M","D7",150,200,12,14.00,70,12.00,10,5.00,20,8.00,"M",1.60,0.18,14,6.00,2,1.00,2.00,1.00,29,19.00,4.00,3.00,10.00,6.00,2,1.00,51,26.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.18,7.00,3.00,0.82,0.38
"N","ACh","ACh/C","M","D1",0,20,8,8.00,53,23.00,28,16.00,19,14.00,"M",1.07,0.44,13,5.00,6,4.00,3.00,3.00,50,27.00,4.00,2.00,12.00,6.00,1,1.00,11,9.00,5.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.45,15.00,5.00,13.28,6.38
"N","ACh","ACh/C","M","D2",20,40,6,6.00,46,23.00,26,15.00,28,17.00,"M",1.09,0.48,11,4.00,6,3.00,3.00,2.00,44,21.00,4.00,2.00,15.00,6.00,2,1.00,25,18.00,5.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.18,12.00,5.00,4.81,2.50
"N","ACh","ACh/C","M","D3",40,60,6,6.00,41,23.00,25,14.00,34,17.00,"M",1.08,0.50,12,5.00,6,3.00,2.00,1.00,40,19.00,4.00,2.00,16.00,7.00,2,1.00,31,23.00,5.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.14,9.00,4.00,2.95,1.54
"N","ACh","ACh/C","M","D4",60,80,7,7.00,41,22.00,24,14.00,35,17.00,"F",1.59,0.13,11,4.00,6,3.00,2.00,1.00,36,18.00,4.00,2.00,17.00,7.00,2,1.00,38,25.00,5.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.21,8.00,3.00,2.16,1.13
"N","ACh","ACh/C","M","D5",80,100,4,5.00,43,22.00,23,14.00,34,16.00,"M",1.60,0.13,12,5.00,6,3.00,2.00,1.00,33,18.00,4.00,2.00,17.00,7.00,2,1.00,43,28.00,5.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.22,7.00,3.00,1.72,0.99
"N","ACh","ACh/C","M","D6",100,150,4,5.00,45,22.00,22,14.00,33,15.00,"M",1.62,0.15,13,5.00,6,3.00,2.00,1.00,29,18.00,4.00,2.00,18.00,8.00,2,1.00,51,26.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.18,5.00,2.00,1.18,0.65
"N","ACh","ACh/C","M","D7",150,200,9,11.00,49,22.00,21,15.00,30,15.00,"M",1.63,0.17,13,4.00,6,3.00,2.00,2.00,28,19.00,4.00,3.00,19.00,8.00,2,1.00,53,27.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.22,5.00,1.00,0.93,0.57
